date,option_name,underlying_name,close,fclose,strike,expiry,iv,option_type,timeframe
2025-11-24 15:25:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153799,153750,2025-11-26 23:20:00,48.9382,c,1
2025-11-24 15:26:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153750,153750,2025-11-26 23:20:00,49.4551,c,1
2025-11-24 15:27:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153703,153750,2025-11-26 23:20:00,49.9484,c,1
2025-11-24 15:28:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153704,153750,2025-11-26 23:20:00,49.9455,c,1
2025-11-24 15:29:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153700,153750,2025-11-26 23:20:00,49.9942,c,1
2025-11-24 15:30:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153656,153750,2025-11-26 23:20:00,50.4541,c,1
2025-11-24 15:31:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153783,153750,2025-11-26 23:20:00,49.1489,c,1
2025-11-24 15:32:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153815,153750,2025-11-26 23:20:00,48.8221,c,1
2025-11-24 15:33:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153796,153750,2025-11-26 23:20:00,49.0279,c,1
2025-11-24 15:34:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153850,153750,2025-11-26 23:20:00,48.4696,c,1
2025-11-24 15:35:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153926,153750,2025-11-26 23:20:00,47.6739,c,1
2025-11-24 15:36:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153889,153750,2025-11-26 23:20:00,48.0730,c,1
2025-11-24 15:37:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153825,153750,2025-11-26 23:20:00,48.7538,c,1
2025-11-24 15:38:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153787,153750,2025-11-26 23:20:00,49.1585,c,1
2025-11-24 15:39:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153823,153750,2025-11-26 23:20:00,48.7893,c,1
2025-11-24 15:40:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153749,153750,2025-11-26 23:20:00,49.5689,c,1
2025-11-24 15:41:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153770,153750,2025-11-26 23:20:00,49.3578,c,1
2025-11-24 15:42:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153780,153750,2025-11-26 23:20:00,49.2610,c,1
2025-11-24 15:43:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153746,153750,2025-11-26 23:20:00,49.6223,c,1
2025-11-24 15:44:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153791,153750,2025-11-26 23:20:00,49.1609,c,1
2025-11-24 15:45:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153823,153750,2025-11-26 23:20:00,48.8331,c,1
2025-11-24 15:46:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153932,153750,2025-11-26 23:20:00,47.6885,c,1
2025-11-24 15:47:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153927,153750,2025-11-26 23:20:00,47.7489,c,1
2025-11-24 15:48:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153915,153750,2025-11-26 23:20:00,47.8836,c,1
2025-11-24 15:49:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153859,153750,2025-11-26 23:20:00,48.4836,c,1
2025-11-24 15:50:00,MCX:SILVER25NOV153750CE,MCX:SILVER25DECFUT,2421.5000,153790,153750,2025-11-26 23:20:00,49.2155,c,1
