date,option_name,underlying_name,close,fclose,strike,expiry,iv,option_type,timeframe
2025-11-19 10:45:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155423,155750,2025-11-26 23:20:00,30.7504,c,1
2025-11-19 10:46:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155600,155750,2025-11-26 23:20:00,29.7688,c,1
2025-11-19 10:47:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155605,155750,2025-11-26 23:20:00,29.7421,c,1
2025-11-19 10:48:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155550,155750,2025-11-26 23:20:00,30.0510,c,1
2025-11-19 10:49:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155567,155750,2025-11-26 23:20:00,29.9575,c,1
2025-11-19 10:50:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155680,155750,2025-11-26 23:20:00,29.3238,c,1
2025-11-19 10:51:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155765,155750,2025-11-26 23:20:00,28.8421,c,1
2025-11-19 10:52:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155794,155750,2025-11-26 23:20:00,28.6776,c,1
2025-11-19 10:53:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155770,155750,2025-11-26 23:20:00,28.8162,c,1
2025-11-19 10:54:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155800,155750,2025-11-26 23:20:00,28.6458,c,1
2025-11-19 10:55:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155666,155750,2025-11-26 23:20:00,29.4097,c,1
2025-11-19 10:56:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155600,155750,2025-11-26 23:20:00,29.7825,c,1
2025-11-19 10:57:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155632,155750,2025-11-26 23:20:00,29.6041,c,1
2025-11-19 10:58:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155550,155750,2025-11-26 23:20:00,30.0649,c,1
2025-11-19 10:59:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155566,155750,2025-11-26 23:20:00,29.9769,c,1
2025-11-19 11:00:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155799,155750,2025-11-26 23:20:00,28.6595,c,1
2025-11-19 11:01:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155801,155750,2025-11-26 23:20:00,28.6493,c,1
2025-11-19 11:02:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,155801,155750,2025-11-26 23:20:00,28.6506,c,1
2025-11-19 11:03:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,156166,155750,2025-11-26 23:20:00,26.5091,c,1
2025-11-19 11:04:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,156286,155750,2025-11-26 23:20:00,25.7820,c,1
2025-11-19 11:05:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,156240,155750,2025-11-26 23:20:00,26.0639,c,1
2025-11-19 11:06:00,MCX:SILVER25NOV155750CE,MCX:SILVER25DECFUT,2574.5000,156275,155750,2025-11-26 23:20:00,25.8517,c,1
