date,option_name,underlying_name,close,fclose,strike,expiry,iv,option_type,timeframe
2025-11-12 20:23:00,MCX:SILVER25NOV156250CE,MCX:SILVER25DECFUT,5662.0000,158908,156250,2025-11-26 23:20:00,34.1537,c,1
2025-11-12 20:24:00,MCX:SILVER25NOV156250CE,MCX:SILVER25DECFUT,5662.0000,158862,156250,2025-11-26 23:20:00,34.3890,c,1
2025-11-12 20:25:00,MCX:SILVER25NOV156250CE,MCX:SILVER25DECFUT,5662.0000,158924,156250,2025-11-26 23:20:00,34.0735,c,1
2025-11-12 20:26:00,MCX:SILVER25NOV156250CE,MCX:SILVER25DECFUT,5662.0000,159050,156250,2025-11-26 23:20:00,33.4246,c,1
2025-11-12 20:27:00,MCX:SILVER25NOV156250CE,MCX:SILVER25DECFUT,5662.0000,158910,156250,2025-11-26 23:20:00,34.1468,c,1
2025-11-12 20:28:00,MCX:SILVER25NOV156250CE,MCX:SILVER25DECFUT,5662.0000,158947,156250,2025-11-26 23:20:00,33.9580,c,1
2025-11-12 20:29:00,MCX:SILVER25NOV156250CE,MCX:SILVER25DECFUT,5662.0000,159040,156250,2025-11-26 23:20:00,33.4789,c,1
2025-11-12 20:30:00,MCX:SILVER25NOV156250CE,MCX:SILVER25DECFUT,5662.0000,159060,156250,2025-11-26 23:20:00,33.3759,c,1
2025-11-12 20:31:00,MCX:SILVER25NOV156250CE,MCX:SILVER25DECFUT,5662.0000,158950,156250,2025-11-26 23:20:00,33.9451,c,1
2025-11-12 20:32:00,MCX:SILVER25NOV156250CE,MCX:SILVER25DECFUT,5662.0000,158889,156250,2025-11-26 23:20:00,34.2582,c,1
2025-11-12 20:33:00,MCX:SILVER25NOV156250CE,MCX:SILVER25DECFUT,5662.0000,159078,156250,2025-11-26 23:20:00,33.2846,c,1
2025-11-12 20:34:00,MCX:SILVER25NOV156250CE,MCX:SILVER25DECFUT,5662.0000,159372,156250,2025-11-26 23:20:00,31.7254,c,1
