date,option_name,underlying_name,close,fclose,strike,expiry,iv,option_type,timeframe
2025-11-20 11:51:00,MCX:SILVER25NOV155500CE,MCX:SILVER25DECFUT,3080.5000,155833,155500,2025-11-26 23:20:00,35.2532,c,1
2025-11-20 11:52:00,MCX:SILVER25NOV155500CE,MCX:SILVER25DECFUT,3080.5000,155897,155500,2025-11-26 23:20:00,34.8451,c,1
2025-11-20 11:53:00,MCX:SILVER25NOV155500CE,MCX:SILVER25DECFUT,3080.5000,155897,155500,2025-11-26 23:20:00,34.8469,c,1
2025-11-20 11:54:00,MCX:SILVER25NOV155500CE,MCX:SILVER25DECFUT,3080.5000,155827,155500,2025-11-26 23:20:00,35.2972,c,1
2025-11-20 11:55:00,MCX:SILVER25NOV155500CE,MCX:SILVER25DECFUT,3080.5000,155752,155500,2025-11-26 23:20:00,35.7758,c,1
2025-11-20 11:56:00,MCX:SILVER25NOV155500CE,MCX:SILVER25DECFUT,3080.5000,155646,155500,2025-11-26 23:20:00,36.4450,c,1
2025-11-20 11:57:00,MCX:SILVER25NOV155500CE,MCX:SILVER25DECFUT,3080.5000,155651,155500,2025-11-26 23:20:00,36.4157,c,1
2025-11-20 11:58:00,MCX:SILVER25NOV155500CE,MCX:SILVER25DECFUT,3080.5000,155700,155500,2025-11-26 23:20:00,36.1098,c,1
2025-11-20 11:59:00,MCX:SILVER25NOV155500CE,MCX:SILVER25DECFUT,3080.5000,155700,155500,2025-11-26 23:20:00,36.1118,c,1
2025-11-20 12:00:00,MCX:SILVER25NOV155500CE,MCX:SILVER25DECFUT,3080.5000,155881,155500,2025-11-26 23:20:00,34.9628,c,1
2025-11-20 12:01:00,MCX:SILVER25NOV155500CE,MCX:SILVER25DECFUT,3080.5000,155918,155500,2025-11-26 23:20:00,34.7266,c,1
2025-11-20 12:02:00,MCX:SILVER25NOV155500CE,MCX:SILVER25DECFUT,3080.5000,155732,155500,2025-11-26 23:20:00,35.9157,c,1
